Категория;Наименование работ;Ед. измерения;Цена от, руб
"Отделка";"Штукатурка стен по маякам";"м²";550
"Отделка";"Установка и демонтаж маяка";"м.пог";20
"Отделка";"Штукатурка потолка по плоскости";"м²";750
"Отделка";"Монтаж армирующей сетки";"м²";120
"Отделка";"Монтаж ГКЛ (ровный)";"м²";450
"Отделка";"Монтаж конструкции ГКЛ короб";"м.пог";600
"Отделка";"Монтаж конструкции ГКЛ со скрытой подсветкой";"м.пог";900
"Отделка";"Монтаж криволинейного потолочного откоса";"м.пог";1100
"Отделка";"Финишное шпаклевание и зачистка потолка";"м²";350
"Отделка";"Проклейка швов серпянкой";"м.пог";50
"Отделка";"Монтаж подвесного потолка «Грильято»";"м²";650
"Отделка";"Монтаж подвесного потолка «Армстронг»";"м²";400
"Отделка";"Монтаж пластиковых панелей на потолке";"м²";450
"Отделка";"Монтаж натяжного потолка (с материалом)";"м²";950
"Отделка";"Поклейка декоративного багета (галтели)";"м.пог";250
"Отделка";"Подготовка конструкции короб ГКЛ к покраске";"м.пог";300
"Отделка";"Выравнивание балок одна плоскость";"м.пог";400
"Отделка";"Установка перфорированного угла";"м.пог";150
"Отделка";"Шлифовка";"м²";100
"Отделка";"Заделка стыков ГКЛ, проклейка ленты";"м.пог";120
"Отделка";"Покраска потолка";"м²";300
"Отделка";"Покраска конструкций ГКЛ";"м.пог";250
"Отделка";"Окраска полиуретанового потолочного плинтуса";"м.пог";200
"Отделка";"Оклейка потолочного плинтуса пенопласт";"м.пог";150
"Отделка";"Грунтовка";"м²";80
"Строительство";"Разметка участка и выемка грунта под фундамент";"м³";1200
"Строительство";"Вязка арматурного каркаса";"т";25000
"Строительство";"Заливка бетона (работа с миксером)";"м³";3500
"Строительство";"Кладка стен из газобетонных блоков";"м³";4200
"Строительство";"Монтаж межэтажных плит перекрытия";"шт";1800
"Строительство";"Кладка кирпича облицовочного";"м²";1900
"Строительство";"Кладка чернового кирпича (1/2 кирпича)";"м²";900
"Строительство";"Устройство ленточного фундамента под ключ";"м.пог";4500
"Строительство";"Устройство монолитной плиты фундамента";"м³";6000
"Строительство";"Гидроизоляция фундаментной ленты обмазочная";"м²";350
"Строительство";"Монтаж фундаментных блоков ФБС";"шт";1200
"Строительство";"Копка траншей ручная под коммуникации";"м.пог";500
"Строительство";"Обратная засыпка грунта с послойным трамбованием";"м³";700
"Строительство";"Бетонирование отмостки с армированием";"м²";1100
"Строительство";"Монтаж перемычек железобетонных оконных/дверных";"шт";800
"Кровля";"Демонтаж старого кровельного покрытия";"м²";250
"Кровля";"Монтаж стропильной системы любой сложности";"м²";950
"Кровля";"Устройство гидро- и пароизоляционного слоя";"м²";180
"Кровля";"Монтаж обрешетки и контробрешетки";"м.пог";150
"Кровля";"Укладка металлочерепицы / профнастила";"м²";650
"Кровля";"Укладка гибкой (битумной) черепицы";"м²";850
"Кровля";"Монтаж водосточной системы (желоба, трубы)";"м.пог";450
"Кровля";"Монтаж карнизных и торцевых планок";"м.пог";250
"Кровля";"Подшивка свесов кровли софитами";"м²";500
"Кровля";"Монтаж мансардного окна под ключ";"шт";7500
"Кровля";"Утепление кровельного пирога минеральной ватой";"м²";350
"Кровля";"Установка снегозадержателей трубчатых";"м.пог";400
"Кровля";"Монтаж конькового аэратора";"м.пог";350
"Кровля";"Герметизация примыканий к дымоходным трубам";"шт";2000
"Сантехника";"Разводка труб водоснабжения (полипропилен)";"точка";2800
"Сантехника";"Монтаж и подключение радиатора отопления";"шт";3500
"Сантехника";"Установка коллекторного шкафа в сборе";"компл.";6000
"Сантехника";"Установка инсталляции под унитаз";"шт";4500
"Сантехника";"Монтаж водяного теплого пола";"м²";550
"Сантехника";"Штробление стен под трубы водоснабжения/слива";"м.пог";400
"Сантехника";"Установка и подключение смесителя";"шт";800
"Сантехника";"Установка ванны (акрил/чугун) с подключением сифона";"шт";3000
"Сантехника";"Монтаж душевой кабины с герметизацией швов";"шт";5500
"Сантехника";"Установка и пусконаладка напольного котла отопления";"шт";12000
"Сантехника";"Установка циркуляционного насоса системы отопления";"шт";2500
"Сантехника";"Монтаж глубинного насоса в скважину";"шт";6000
"Сантехника";"Установка счетчиков холодной/горячей воды";"шт";1200
"Сантехника";"Монтаж магистрального фильтра грубой очистки";"шт";1500
"Электрика";"Штробление стен под проводку (бетон/кирпич)";"м.пог";350
"Электрика";"Прокладка кабеля в гофре по потолку";"м.пог";120
"Электрика";"Высверливание отверстия под подрозетник";"шт";250
"Электрика";"Монтаж и расключение распределительного щита";"модуль";800
"Электрика";"Установка и подключение автомата защиты";"шт";400
"Электрика";"Установка розеток и выключателей (в готовое гнездо)";"шт";150
"Электрика";"Монтаж светодиодной ленты с подключением блока питания";"м.пог";300
"Электрика";"Сборка и подвес массивной люстры";"шт";1500
"Электрика";"Монтаж точечного светильника в натяжной/ГКЛ потолок";"шт";250
"Электрика";"Прокладка слаботочного кабеля (интернет, ТВ)";"м.пог";90
"Электрика";"Установка электрического теплого пола (маты)";"м²";600
"Электрика";"Монтаж контура заземления здания с замером сопротивления";"компл.";8500
"Электрика";"Установка уличного прожектора на фасаде/опоре";"шт";1200
"Электрика";"Демонтаж старой открытой/скрытой электропроводки";"м.пог";100
